,Duration (in seconds),Age,Gender,Residential country,Student?,TPU experience
218,172,18-21,Woman,India,Yes,
219,246,25-29,Woman,South Africa,Yes,
220,1092,45-49,Man,Japan,No,Once
221,2937,22-24,Woman,Other,Yes,
222,232,22-24,Man,Nigeria,Yes,
223,2051,22-24,Man,India,Yes,
224,466,30-34,Woman,Turkey,No,
225,320,22-24,Man,India,Yes,
226,1842,18-21,Man,India,Yes,
227,167,25-29,Woman,Colombia,Yes,
228,180,18-21,Man,China,Yes,
229,1024,25-29,Man,India,Yes,
230,420,18-21,Man,India,No,
231,24866,22-24,Man,India,Yes,
232,432,22-24,Man,India,Yes,
233,291,30-34,Man,Canada,Yes,
234,953,22-24,Woman,India,Yes,
235,145,22-24,Man,Nepal,Yes,
236,334,25-29,Man,Taiwan,Yes,
237,1634,45-49,Man,Other,No,Never
238,507,50-54,Man,United Kingdom of Great Britain and Northern Ireland,No,Once
239,635,50-54,Man,Japan,No,
240,213,18-21,Woman,India,Yes,
241,670,45-49,Man,United States of America,No,Once
242,132,18-21,Prefer not to say,India,Yes,
243,232,25-29,Man,Israel,Yes,
244,814,50-54,Woman,India,No,2-5 times
245,1330,35-39,Man,India,No,Once
246,256,40-44,Man,United States of America,No,
247,336,30-34,Man,Ethiopia,No,Once
248,484,30-34,Man,Other,Yes,
249,533,25-29,Woman,Canada,Yes,
250,190,40-44,Man,Argentina,Yes,
251,438,30-34,Woman,Turkey,No,Never
252,136,30-34,Woman,Nigeria,Yes,
253,537,22-24,Man,Kenya,Yes,
254,305,22-24,Man,India,Yes,
255,631,30-34,Woman,Tunisia,No,Never
256,200,18-21,Woman,India,Yes,
257,12147,35-39,Man,Colombia,Yes,
258,525,25-29,Man,Philippines,No,Once
259,472,22-24,Man,India,Yes,
260,195,22-24,Woman,India,Yes,
261,143,25-29,Man,Japan,No,
262,2422,45-49,Woman,Egypt,No,Never
263,166,25-29,Man,India,Yes,
264,774,30-34,Man,Other,Yes,
265,317,40-44,Man,Chile,No,
266,356,40-44,Man,Brazil,No,
267,269,25-29,Man,India,Yes,
268,601,25-29,Man,India,No,Never
269,673,35-39,Man,Brazil,No,Never
270,552,50-54,Man,Colombia,No,
271,3316,50-54,Man,Ecuador,Yes,
272,972,60-69,Man,Japan,No,More than 25 times
273,280,18-21,Man,India,Yes,
274,1082,50-54,Man,South Korea,No,Once
275,153,25-29,Man,United States of America,Yes,
276,514,25-29,Man,Nigeria,No,
277,865,25-29,Man,India,Yes,
278,174,22-24,Woman,Viet Nam,Yes,
279,532,40-44,Woman,United States of America,No,
280,214,35-39,Woman,United States of America,No,
281,216,22-24,Man,India,Yes,
282,608,22-24,Man,India,No,Never
283,643,30-34,Man,Indonesia,No,
284,342,18-21,Man,India,Yes,
285,162,22-24,Man,India,Yes,
286,659,35-39,Man,Japan,Yes,
287,2043,18-21,Man,India,Yes,
288,365,18-21,Man,India,Yes,
289,258,25-29,Man,India,Yes,
290,753,35-39,Man,Japan,No,2-5 times
291,271,55-59,Man,India,No,
292,724,25-29,Man,Canada,Yes,
293,269,22-24,Woman,Pakistan,Yes,
294,925,30-34,Man,Chile,Yes,
295,397,18-21,Woman,India,Yes,
296,364,18-21,Man,India,Yes,
297,362,50-54,Man,India,No,
298,883,45-49,Woman,India,No,
299,516,35-39,Woman,Peru,No,Never
300,280,22-24,Man,India,Yes,
301,313,18-21,Man,India,Yes,
302,881,22-24,Woman,India,Yes,
303,648,22-24,Woman,Other,No,
304,276,45-49,Man,Thailand,No,
305,309,18-21,Man,India,Yes,
306,792,25-29,Man,Egypt,No,
307,248,40-44,Man,United Arab Emirates,No,
308,380,18-21,Man,India,Yes,
309,341,30-34,Man,Egypt,No,
310,173,22-24,Man,India,Yes,
311,413,50-54,Man,Spain,No,
312,443,18-21,Woman,India,Yes,
313,171,45-49,Man,Colombia,Yes,
314,713,40-44,Man,India,No,2-5 times
315,228,25-29,Man,Israel,Yes,
316,214,30-34,Man,India,No,
317,213,25-29,Man,India,Yes,
318,257,45-49,Man,United States of America,Yes,
319,380,18-21,Man,United States of America,No,
320,138,18-21,Man,India,Yes,
321,7995,25-29,Man,Japan,No,
322,283,22-24,Man,India,No,
323,207,25-29,Man,India,Yes,
324,180,18-21,Man,Colombia,Yes,
325,156,30-34,Man,India,Yes,
326,274,25-29,Man,Germany,Yes,
327,3242,30-34,Man,Cameroon,No,
328,139,30-34,Man,United States of America,Yes,
329,631,22-24,Woman,Egypt,No,2-5 times
330,213,22-24,Man,India,Yes,
331,920,35-39,Woman,"Iran, Islamic Republic of...",No,
332,256,18-21,Man,India,Yes,
333,275,22-24,Man,Bangladesh,Yes,
334,416,18-21,Woman,India,Yes,
335,344,45-49,Woman,United States of America,No,
336,280,40-44,Man,United States of America,Yes,
337,607,35-39,Man,Other,No,Once
338,1143,25-29,Man,India,Yes,
339,505,22-24,Man,Taiwan,Yes,
340,467,22-24,Man,India,Yes,
341,564,35-39,Man,Chile,No,Never
342,507,60-69,Man,United States of America,No,2-5 times
343,940,60-69,Man,Netherlands,No,Never
344,581,30-34,Man,Zimbabwe,Yes,
345,344,25-29,Man,Egypt,Yes,
346,2481,25-29,Man,Ghana,No,
347,409,45-49,Man,Ethiopia,Yes,
348,610,35-39,Man,United States of America,No,Never
349,643,45-49,Man,United States of America,No,Never
350,354,22-24,Man,Portugal,No,
351,663,40-44,Man,United States of America,No,2-5 times
352,313,40-44,Man,United States of America,No,
353,427,60-69,Man,Peru,No,
354,1027277,18-21,Woman,Egypt,Yes,
355,368,25-29,Prefer to self-describe,Thailand,No,
356,357,25-29,Man,Turkey,Yes,
357,510,25-29,Man,India,Yes,
358,244,18-21,Man,India,Yes,
359,703,45-49,Man,South Korea,No,
360,164,35-39,Man,United Kingdom of Great Britain and Northern Ireland,Yes,
361,442,50-54,Man,Taiwan,No,
362,348,22-24,Man,India,Yes,
363,597,18-21,Woman,India,Yes,
364,636,18-21,Man,India,Yes,
365,353,30-34,Man,India,No,
366,135,25-29,Man,India,Yes,
367,833,25-29,Man,India,No,Never
368,1266,45-49,Man,India,No,Never
369,399,18-21,Man,Egypt,Yes,
370,381,25-29,Man,India,Yes,
371,576,70+,Man,United States of America,No,Never
372,509,22-24,Man,India,No,
373,421,30-34,Man,India,No,
374,9752,30-34,Man,United States of America,No,
375,181,22-24,Man,United States of America,Yes,
376,382,25-29,Woman,United States of America,Yes,
377,172,35-39,Prefer not to say,United States of America,No,
378,2750,45-49,Man,Nigeria,No,
379,731,22-24,Man,Indonesia,No,2-5 times
380,659,25-29,Man,India,No,
381,267,45-49,Man,Other,Yes,
382,901670,25-29,Man,Nigeria,Yes,
383,212,22-24,Man,India,Yes,
384,586,30-34,Woman,"Iran, Islamic Republic of...",No,
385,1233,45-49,Woman,India,No,
386,124,22-24,Woman,Canada,Yes,
387,358,35-39,Woman,India,Yes,
388,371,25-29,Man,Ethiopia,Yes,
389,327,18-21,Man,Pakistan,Yes,
390,597,25-29,Man,Ethiopia,No,Once
391,620,25-29,Woman,India,No,
392,826,25-29,Man,India,No,Never
393,359,25-29,Woman,India,No,
394,340,30-34,Man,Other,Yes,
395,19030,30-34,Woman,Turkey,No,Never
396,300,35-39,Man,Thailand,No,
397,726,50-54,Man,Thailand,No,
398,209,25-29,Woman,India,No,
399,1026,30-34,Woman,India,No,Never
400,476,40-44,Woman,France,No,2-5 times
401,125,50-54,Woman,United States of America,Yes,
402,1502,35-39,Man,Bangladesh,Yes,
403,8830,55-59,Man,South Korea,No,2-5 times
404,476,45-49,Woman,Brazil,Yes,
405,385,35-39,Woman,United States of America,Yes,
406,415,22-24,Man,Other,Yes,
407,10406,45-49,Man,Russia,No,Once
408,1140,35-39,Man,India,No,2-5 times
409,891,25-29,Man,Colombia,No,
410,7149,30-34,Man,Colombia,Yes,
411,411,35-39,Man,Morocco,Yes,
412,202,18-21,Man,Italy,Yes,
413,214,30-34,Man,Indonesia,No,
414,303,18-21,Man,Russia,Yes,
415,193,18-21,Man,India,Yes,
416,505,22-24,Man,Viet Nam,No,More than 25 times
417,206,18-21,Man,India,Yes,
418,1463,45-49,Man,India,No,Never
419,580,45-49,Man,Poland,No,Once
420,1705,50-54,Man,Japan,No,
421,751,35-39,Woman,Brazil,No,Never
422,332,30-34,Man,Indonesia,Yes,
423,170,18-21,Man,India,Yes,
424,143,18-21,Man,Other,Yes,
425,964,25-29,Woman,"Iran, Islamic Republic of...",Yes,
426,799,30-34,Man,Netherlands,No,More than 25 times
427,389,45-49,Woman,Mexico,No,
428,305,18-21,Man,India,Yes,
429,355,22-24,Woman,India,No,
430,755,25-29,Man,Other,Yes,
431,705,40-44,Woman,Israel,No,
432,410,18-21,Woman,India,Yes,
433,127,22-24,Prefer not to say,Other,Yes,
434,540,45-49,Man,Brazil,No,Never
435,316,40-44,Woman,India,No,
436,200,30-34,Man,United States of America,No,
437,444,40-44,Woman,United States of America,No,Never
438,803,25-29,Man,Mexico,No,
439,200,35-39,Man,India,No,
440,1761,30-34,Woman,Saudi Arabia,No,Never
441,1935,30-34,Man,Peru,No,2-5 times
442,531,22-24,Man,Mexico,Yes,
443,564,30-34,Woman,Australia,Yes,
444,1316646,35-39,Man,India,No,
445,215,18-21,Man,India,Yes,
446,693,18-21,Man,India,Yes,
447,137,22-24,Man,Other,Yes,
448,14301,35-39,Man,"Iran, Islamic Republic of...",No,Never
449,626,45-49,Man,India,No,Once
450,2665,30-34,Man,Egypt,No,More than 25 times
451,767,50-54,Man,India,No,Never
452,402,40-44,Man,United States of America,No,
453,546,18-21,Woman,India,Yes,
454,171,25-29,Woman,United States of America,No,
455,844,40-44,Man,Bangladesh,No,
456,416,40-44,Woman,United States of America,Yes,
457,275,25-29,Man,India,No,
458,329,18-21,Man,Nigeria,Yes,
459,289,25-29,Man,Nepal,No,
460,584,22-24,Woman,India,No,
461,6448,30-34,Man,Brazil,No,Once
462,534,55-59,Man,United States of America,No,
463,1381,50-54,Man,Mexico,No,Never
464,753,18-21,Woman,Romania,Yes,
465,147,30-34,Man,India,Yes,
466,336,22-24,Man,India,No,
467,364,18-21,Woman,Other,Yes,
468,257,18-21,Man,India,Yes,
469,307,22-24,Man,United States of America,No,
470,223,22-24,Man,India,Yes,
471,672,30-34,Man,India,No,Never
472,404,18-21,Woman,India,Yes,
473,1390,55-59,Man,Czech Republic,No,Never
474,413,22-24,Man,Pakistan,Yes,
475,180,22-24,Man,India,No,
476,140,30-34,Woman,India,Yes,
477,253,22-24,Woman,India,Yes,
478,997,55-59,Man,Brazil,No,2-5 times
479,329,30-34,Man,Nigeria,Yes,
480,254,18-21,Man,India,Yes,
481,459,35-39,Woman,Kenya,Yes,
482,4259,40-44,Man,India,No,Never
483,190,18-21,Man,India,Yes,
484,1883,50-54,Man,United States of America,No,2-5 times
485,1108,25-29,Man,Russia,No,
486,305,25-29,Woman,India,Yes,
487,186729,25-29,Woman,India,No,
488,220,55-59,Man,United States of America,No,
489,247,60-69,Man,Philippines,No,
490,588,25-29,Man,Peru,Yes,
491,187,25-29,Man,United States of America,No,
492,378,22-24,Man,India,Yes,
493,147,18-21,Man,Russia,Yes,
494,317,18-21,Man,India,Yes,
495,370,18-21,Man,India,Yes,
496,253,25-29,Prefer not to say,India,No,
497,7896,25-29,Man,Nigeria,No,Never
498,485,18-21,Man,Other,Yes,
499,169,25-29,Man,Nigeria,Yes,
500,224,22-24,Man,Turkey,Yes,
501,598,30-34,Man,India,No,
502,212,30-34,Man,India,No,
503,284,40-44,Man,Russia,No,
504,10438,30-34,Man,India,No,
505,203,18-21,Woman,Egypt,Yes,
506,680,22-24,Woman,India,No,
507,366,22-24,Man,Other,Yes,
508,476,18-21,Man,India,Yes,
509,184,25-29,Woman,India,Yes,
510,220,22-24,Man,Nigeria,Yes,
511,291,40-44,Man,United States of America,No,
512,1014,45-49,Man,Canada,Yes,
513,242,18-21,Man,India,Yes,
514,479,40-44,Man,India,No,2-5 times
515,272,35-39,Prefer not to say,Italy,Yes,
516,1389,18-21,Woman,India,No,
517,208,25-29,Man,India,Yes,
518,385,30-34,Man,United States of America,Yes,
519,228935,18-21,Man,India,Yes,
520,722,55-59,Man,Thailand,No,
521,289,18-21,Man,India,Yes,
522,235,18-21,Man,Other,Yes,
523,358,22-24,Man,Morocco,Yes,
524,340,35-39,Man,United Kingdom of Great Britain and Northern Ireland,Yes,
525,1382,30-34,Man,Other,No,Never
526,223,30-34,Man,Other,No,
527,443,18-21,Man,India,Yes,
528,144,30-34,Man,Canada,No,
529,272,35-39,Man,Nigeria,No,
530,576,50-54,Man,Other,No,
531,696,18-21,Man,China,Yes,
532,555,40-44,Man,Israel,No,
533,285,25-29,Man,Egypt,Yes,
534,1225,30-34,Man,Kenya,No,
535,842,18-21,Man,Other,Yes,
536,992,18-21,Man,Kenya,Yes,
537,602,30-34,Man,India,No,
538,749,30-34,Man,United States of America,No,Never
539,195,25-29,Man,India,No,
540,229,22-24,Man,India,Yes,
541,140,22-24,Man,Ethiopia,Yes,
542,186,22-24,Woman,Malaysia,No,
543,272,22-24,Man,India,Yes,
544,436,40-44,Man,Pakistan,Yes,
545,901,22-24,Man,India,Yes,
546,497,22-24,Woman,India,Yes,
547,506,25-29,Man,Taiwan,No,
548,1204,40-44,Man,Nigeria,Yes,
549,173,18-21,Man,Turkey,Yes,
550,196,22-24,Woman,Kenya,Yes,
551,190,18-21,Man,India,Yes,
552,1125,25-29,Woman,India,Yes,
553,91703,18-21,Man,India,Yes,
554,357,18-21,Man,India,Yes,
555,947,50-54,Woman,Brazil,No,Never
556,169,25-29,Man,India,No,
557,287,70+,Man,United States of America,Yes,
558,691,45-49,Man,United States of America,No,More than 25 times
559,721,50-54,Man,United States of America,No,2-5 times
560,320,22-24,Man,Pakistan,Yes,
561,187,30-34,Man,Kenya,Yes,
562,209,40-44,Man,United States of America,No,
563,206,18-21,Man,India,Yes,
564,477,22-24,Man,Other,Yes,
565,193,25-29,Man,India,Yes,
566,414,18-21,Woman,Brazil,Yes,
567,492,25-29,Man,Indonesia,Yes,
568,1163,18-21,Man,Viet Nam,Yes,
569,622,45-49,Man,Germany,No,Never
570,1206,55-59,Man,Japan,No,Never
571,604,18-21,Woman,India,Yes,
572,258,18-21,Man,Ghana,Yes,
573,546,18-21,Man,Colombia,Yes,
574,534,30-34,Man,United States of America,No,
575,198,25-29,Man,India,Yes,
576,315,18-21,Woman,India,Yes,
577,597,45-49,Woman,Taiwan,No,
578,284,55-59,Man,United States of America,No,
579,261,30-34,Man,Other,No,
580,1583,50-54,Man,Japan,No,Never
581,472,40-44,Man,India,No,2-5 times
582,246,18-21,Woman,India,Yes,
583,2072269,50-54,Woman,United States of America,No,Never
584,297,40-44,Man,United States of America,Yes,
585,439,18-21,Man,India,Yes,
586,264,18-21,Man,India,Yes,
587,379,22-24,Woman,Indonesia,Yes,
588,793,22-24,Woman,India,No,
589,67219,22-24,Man,India,No,
590,379,35-39,Man,Other,Yes,
591,291,25-29,Man,Turkey,Yes,
592,1346,40-44,Man,France,No,Once
593,634,50-54,Man,United States of America,No,
594,3260,30-34,Man,"Iran, Islamic Republic of...",No,2-5 times
595,959,40-44,Woman,India,No,
596,337,40-44,Man,India,Yes,
597,278,35-39,Man,Other,No,
598,497,22-24,Man,Other,Yes,
599,1609,22-24,Man,China,Yes,
600,359,18-21,Woman,India,Yes,
601,417,30-34,Man,Other,No,
602,2907,30-34,Man,Romania,Yes,
603,197,18-21,Man,India,Yes,
604,288,50-54,Man,Japan,No,
605,92766,22-24,Man,India,No,
606,293,22-24,Man,India,Yes,
607,2412,18-21,Man,China,Yes,
608,349,25-29,Man,Japan,No,Never
609,448,70+,Prefer not to say,Other,No,
610,1530,40-44,Man,India,No,
611,629,30-34,Man,India,No,
612,438,22-24,Man,India,No,
613,607,35-39,Man,"Iran, Islamic Republic of...",No,Never
614,387,25-29,Man,Kenya,Yes,
615,159,18-21,Man,Viet Nam,Yes,
616,217,18-21,Woman,China,Yes,
617,689,40-44,Man,Japan,No,2-5 times
618,439,40-44,Man,Poland,No,Never
619,911,22-24,Man,Ethiopia,No,Never
620,472,30-34,Woman,United States of America,No,
621,4178,25-29,Man,India,No,
622,674,30-34,Man,Other,No,6-25 times
623,414,18-21,Man,India,Yes,
624,851,45-49,Man,Brazil,No,Never
625,1085,35-39,Woman,China,No,Never
626,675,35-39,Man,Indonesia,Yes,
627,418,35-39,Prefer not to say,Other,No,Once
628,4326,35-39,Man,India,No,
629,1507,30-34,Woman,Tunisia,Yes,
630,608,45-49,Man,Netherlands,No,
631,337,35-39,Man,Argentina,Yes,
632,301,30-34,Man,Mexico,No,
633,452,25-29,Man,India,No,Once
634,719,25-29,Man,Sri Lanka,No,More than 25 times
635,1999,30-34,Man,South Africa,No,2-5 times
636,471,25-29,Man,South Africa,Yes,
637,524,22-24,Man,Nigeria,No,
638,384,40-44,Man,United States of America,Yes,
639,379,35-39,Man,India,Yes,
640,338,25-29,Man,India,No,
641,606,22-24,Man,Turkey,No,
642,800,35-39,Woman,Poland,No,
643,349,25-29,Man,Nigeria,No,
644,772,30-34,Man,India,No,2-5 times
645,928,35-39,Man,Turkey,No,Once
646,314,22-24,Man,Canada,Yes,
647,331,50-54,Man,United States of America,No,
648,275,60-69,Woman,United States of America,No,
649,355,22-24,Man,Nepal,Yes,
650,326,30-34,Prefer not to say,India,Yes,
651,301,35-39,Man,Canada,Yes,
652,137,25-29,Man,United States of America,No,
653,903,40-44,Man,Poland,No,2-5 times
654,313,30-34,Man,Japan,No,
655,345,55-59,Woman,United States of America,No,
656,1159,25-29,Man,India,No,
657,479,25-29,Woman,India,Yes,
658,1361,30-34,Man,Other,Yes,
659,212,18-21,Woman,Algeria,Yes,
660,308,18-21,Man,India,Yes,
661,415,30-34,Man,South Africa,Yes,
662,245,35-39,Woman,Colombia,Yes,
663,336,45-49,Man,Turkey,Yes,
664,278,25-29,Man,Indonesia,No,
665,133,30-34,Man,Peru,No,
666,396,22-24,Woman,Nigeria,No,
667,222,35-39,Woman,India,No,
668,416,25-29,Man,India,No,
669,195,18-21,Man,Kenya,Yes,
670,561,25-29,Woman,Bangladesh,No,
671,297,50-54,Man,Czech Republic,Yes,
672,159,30-34,Man,Other,No,
673,516,30-34,Man,Ghana,Yes,
674,195,18-21,Woman,India,Yes,
675,358,18-21,Man,Nepal,Yes,
676,209,50-54,Woman,United States of America,No,
677,352,25-29,Man,China,Yes,
678,1124705,18-21,Man,India,Yes,
679,374,18-21,Man,United States of America,Yes,
680,915,40-44,Woman,India,No,2-5 times
681,339,18-21,Man,India,Yes,
682,9440,22-24,Man,Colombia,Yes,
683,547,45-49,Man,Other,Yes,
684,57488,25-29,Woman,India,Yes,
685,333,50-54,Man,India,No,
686,231,35-39,Man,Canada,Yes,
687,196,22-24,Man,India,Yes,
688,2359,45-49,Man,Indonesia,No,Never
689,172,60-69,Prefer not to say,Italy,Yes,
690,8657,18-21,Man,India,Yes,
691,17169,30-34,Woman,South Korea,Yes,
692,263,22-24,Woman,United Kingdom of Great Britain and Northern Ireland,Yes,
693,600,40-44,Woman,United States of America,No,Once
694,563,50-54,Man,Brazil,No,2-5 times
